Estacion:, El Trapiche,Dpto: Antioquia,Latitud  :,5°,48',N
Año:, 2006,Mpio: Bolívar,Longitud:,76°,1',W
"",,Altitud:,1277,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.8 24.5 19.2,83.7,0.0 0.0 0.0,3.1
2,16.5 23.0 19.0,79.7,31.2 2.7 33.9,1.2
3,16.3 24.8 19.6,76.0,10.1 4.0 14.1,6.2
4,15.4 26.8 20.2,71.0,0.0 0.0 0.0,8.0
5,16.8 23.3 19.3,86.3,1.2 0.0 1.2,1.0
6,15.9 22.6 19.5,83.3,0.0 26.2 26.2,1.1
7,16.0 19.1 17.2,90.7,9.3 0.0 9.3,0.0
8,15.6 23.7 19.0,75.7,0.0 32.1 32.1,1.3
9,15.5 21.5 17.4,80.7,0.5 0.5 1.0,0.3
10,15.4 25.8 19.6,73.7,0.0 0.0 0.0,7.1
11,15.0 25.3 18.6,80.3,11.4 67.4 78.8,3.9
12,14.5 20.5 17.2,94.3,0.9 0.2 1.1,0.1
13,15.5 22.8 18.8,81.0,0.5 7.9 8.4,2.7
14,16.0 22.7 18.4,75.7,1.7 0.0 1.7,1.1
15,17.0 24.5 20.3,78.7,0.1 2.5 2.6,3.8
16,16.5 25.0 19.3,78.3,1.0 5.0 6.0,3.8
17,15.5 24.4 19.1,72.7,0.0 0.0 0.0,5.6
18,15.0 25.0 20.0,75.3,0.2 4.0 4.2,4.5
19,16.5 23.4 19.2,78.0,3.3 17.2 20.5,1.2
20,15.9 18.0 16.2,93.0,26.5 0.1 26.6,0.0
21,14.0 21.6 17.8,80.7,0.3 0.0 0.3,1.1
22,14.8 23.2 18.0,75.0,0.8 0.0 0.8,3.3
23,14.6 25.0 19.2,74.7,0.4 3.0 3.4,5.5
24,16.2 24.0 19.4,76.7,0.0 11.0 11.0,3.2
25,14.6 23.5 18.9,82.0,5.6 0.0 5.6,0.1
26,16.0 22.8 18.1,81.7,6.5 5.6 12.1,1.2
27,15.8 22.3 18.9,83.3,0.7 0.0 0.7,1.7
28,15.0 24.5 18.9,75.0,0.0 0.0 0.0,3.2
29,14.5 27.2 21.2,67.0,0.0 0.0 0.0,8.9
30,16.0 25.4 19.4,72.7,0.0 0.0 0.0,2.5
31,15.5 23.5 19.0,79.7,0.0 0.0 0.0,2.5
Total:,,,112.2 189.4 301.6,89.2
Promedio:,15.6 23.5 18.9,79.2,,
Estacion:, San Antonio,Dpto: Santander,Latitud  :,7°,6',N
Año:, 2006,Mpio: Floridablanca,Longitud:,73°,4',W
"",,Altitud:,1539,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.0 22.6 18.7,84.3,0.0 0.0 0.0,4.2
2,15.8 23.6 18.6,84.0,0.0 0.2 0.2,7.1
3,16.4 21.7 18.3,90.3,0.0 0.0 0.0,1.5
4,15.6 19.4 17.0,98.3,0.6 1.6 2.2,0.4
5,15.0 17.0 16.1,96.3,12.1 0.0 12.1,0.0
6,14.8 19.5 17.0,95.3,4.6 5.1 9.7,0.6
7,15.0 19.7 17.1,93.7,0.2 0.0 0.2,0.4
8,15.8 21.0 18.1,84.3,0.0 0.0 0.0,0.0
9,15.4 23.5 19.0,84.0,0.0 0.0 0.0,3.2
10,15.9 23.1 19.1,82.3,0.0 0.0 0.0,2.6
11,15.8 23.9 19.6,88.0,0.0 0.0 0.0,4.4
12,15.6 22.6 19.0,84.3,0.0 0.0 0.0,1.5
13,16.8 23.3 19.5,86.0,0.0 0.0 0.0,2.7
14,17.3 25.2 20.2,89.7,0.0 0.0 0.0,5.1
15,16.4 22.7 18.5,94.3,12.3 0.0 12.3,3.4
16,16.3 23.2 19.1,88.3,0.0 0.0 0.0,2.2
17,16.6 23.0 19.4,86.0,0.0 0.0 0.0,3.2
18,16.3 23.3 18.9,86.7,0.0 0.0 0.0,2.6
19,15.2 23.9 18.7,82.0,0.0 0.0 0.0,6.1
20,15.4 21.9 18.1,85.0,0.0 0.0 0.0,2.8
21,16.0 24.9 19.3,81.0,0.0 0.0 0.0,8.5
22,16.4 25.1 19.5,80.7,0.0 0.0 0.0,4.9
23,16.5 24.1 20.0,86.0,0.0 2.4 2.4,5.6
24,16.6 23.5 19.9,88.7,0.0 0.0 0.0,2.4
25,17.5 24.2 20.5,82.0,0.0 0.0 0.0,1.8
26,18.1 24.5 20.6,89.0,0.0 0.0 0.0,2.2
27,18.2 21.7 19.7,95.7,1.1 0.4 1.5,0.0
28,16.9 22.7 19.2,90.0,0.9 0.2 1.1,2.5
29,17.5 23.3 19.8,82.0,0.0 0.0 0.0,0.5
30,16.4 24.9 20.2,84.7,0.0 0.0 0.0,4.9
31,17.4 23.2 20.1,89.7,0.0 55.8 55.8,2.6
Total:,,,31.8 65.7 97.5,89.9
Promedio:,16.3 22.8 19.0,87.5,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Febrero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.7 22.5 19.7,92.7,0.5 0.0 0.5,1.0
2,17.4 23.8 19.9,90.7,0.4 0.0 0.4,0.6
3,17.0 24.0 19.6,93.7,0.2 0.4 0.6,1.1
4,17.3 22.0 18.8,93.0,0.0 0.0 0.0,1.3
5,16.5 22.0 19.0,86.0,0.7 0.0 0.7,2.6
6,16.0 21.5 18.6,86.3,0.0 0.0 0.0,2.1
7,15.7 23.2 19.2,88.3,0.0 0.7 0.7,4.5
8,16.0 23.2 19.3,87.7,0.0 64.9 64.9,4.2
9,16.5 21.8 19.2,86.3,0.0 21.0 21.0,0.6
10,16.4 22.0 19.2,87.7,0.0 0.0 0.0,0.8
11,17.0 23.7 20.2,83.3,0.0 0.0 0.0,3.1
12,17.5 23.8 20.4,91.0,0.0 0.0 0.0,3.8
13,16.8 21.6 18.8,89.0,0.0 0.0 0.0,0.6
14,15.7 21.5 18.4,90.3,0.0 0.0 0.0,4.9
15,15.4 24.3 19.3,80.3,0.0 0.0 0.0,8.0
16,16.7 25.9 20.5,83.0,0.0 0.0 0.0,10.3
17,17.8 24.5 20.4,79.3,0.0 0.0 0.0,6.0
18,16.8 24.6 19.9,91.0,0.0 0.0 0.0,5.6
19,17.5 24.0 20.0,88.0,0.0 0.0 0.0,5.8
20,16.8 25.0 19.6,79.7,0.0 0.0 0.0,10.0
21,15.5 24.7 19.6,82.0,0.0 0.0 0.0,9.7
22,16.0 24.8 19.8,80.3,0.0 0.0 0.0,9.4
23,16.6 24.0 20.5,83.7,0.0 0.0 0.0,2.6
24,17.7 26.8 21.1,85.3,0.0 0.0 0.0,8.0
25,17.8 25.6 21.1,81.0,0.0 0.0 0.0,9.1
26,17.0 26.1 21.2,82.0,0.0 25.5 25.5,8.0
27,15.2 19.8 17.5,93.7,2.3 0.0 2.3,0.1
28,15.5 21.4 18.5,89.7,0.0 0.0 0.0,1.7
29,,,,
30,,,,
31,,,,
Total:,,,4.1 112.5 116.6,125.5
Promedio:,16.6 23.5 19.6,86.6,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Marzo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.5 25.7 20.9,82.0,0.0 0.0 0.0,6.3
2,18.8 24.7 21.2,87.7,0.2 0.6 0.8,3.5
3,17.6 24.3 20.2,90.3,5.2 0.0 5.2,3.5
4,17.1 23.0 19.7,90.3,0.0 0.0 0.0,1.7
5,17.0 23.3 20.0,91.3,0.0 0.0 0.0,5.2
6,17.7 20.0 18.6,96.3,4.1 28.7 32.8,0.0
7,16.0 20.5 17.8,94.0,15.7 2.0 17.7,0.0
8,15.9 20.5 18.1,91.7,0.0 0.0 0.0,0.0
9,16.3 19.2 17.7,95.3,7.5 0.0 7.5,0.2
10,16.2 21.2 18.9,89.7,0.3 0.0 0.3,0.0
11,16.0 22.9 19.8,87.0,0.0 0.0 0.0,2.6
12,16.7 25.0 20.3,81.0,1.9 0.1 2.0,4.6
13,17.5 23.3 20.0,86.7,0.0 9.2 9.2,2.4
14,16.5 24.6 20.0,86.3,0.0 24.0 24.0,5.5
15,16.5 23.0 19.3,81.0,0.0 0.0 0.0,0.6
16,16.6 23.1 19.3,84.3,0.0 0.0 0.0,1.3
17,17.2 22.4 19.3,89.7,0.4 0.0 0.4,0.6
18,16.4 23.5 19.0,87.7,0.8 0.0 0.8,2.0
19,16.7 23.8 19.5,88.7,0.4 0.9 1.3,5.0
20,16.6 22.7 19.5,86.7,0.0 0.0 0.0,0.9
21,16.9 22.9 18.2,92.0,15.9 1.3 17.2,2.6
22,16.8 22.2 18.4,94.3,7.2 2.5 9.7,2.9
23,16.4 24.4 19.6,87.3,0.3 0.5 0.8,3.4
24,16.8 23.1 18.8,88.0,2.7 2.8 5.5,0.4
25,16.7 22.3 19.1,87.3,4.8 5.7 10.5,0.4
26,16.3 20.8 18.3,93.3,1.3 0.0 1.3,0.7
27,16.7 22.0 19.3,90.7,7.6 0.1 7.7,2.6
28,17.0 25.3 20.6,87.7,0.0 0.0 0.0,3.4
29,17.6 25.6 21.0,83.0,0.0 0.0 0.0,7.6
30,17.5 25.5 21.4,80.0,0.0 0.0 0.0,5.5
31,18.0 22.7 20.0,90.7,0.0 0.0 0.0,0.8
Total:,,,76.3 78.4 154.7,76.2
Promedio:,16.9 23.0 19.5,88.5,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Abril,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.4 22.8 19.2,92.3,0.0 0.0 0.0,3.0
2,18.1 22.7 19.2,91.3,6.4 0.0 6.4,0.6
3,16.9 23.0 19.5,91.0,0.0 0.0 0.0,5.0
4,17.0 23.0 19.0,91.0,4.6 2.1 6.7,0.5
5,15.8 22.3 18.7,92.0,0.4 0.0 0.4,2.0
6,16.1 21.5 18.0,91.7,7.0 3.0 10.0,0.7
7,16.7 22.3 18.8,93.3,0.0 0.0 0.0,0.7
8,16.5 23.8 19.3,90.3,1.7 0.0 1.7,2.9
9,16.0 24.8 18.6,86.7,36.5 0.3 36.8,6.3
10,15.9 24.3 19.8,75.3,0.0 0.0 0.0,7.0
11,16.8 23.7 19.1,89.7,0.0 0.0 0.0,2.4
12,16.5 20.0 18.2,94.0,0.3 23.0 23.3,0.3
13,15.4 19.7 17.4,94.3,16.6 21.2 37.8,0.0
14,14.7 21.1 17.6,93.7,5.1 0.0 5.1,1.1
15,15.1 20.6 18.0,92.3,0.4 0.0 0.4,0.0
16,15.6 21.0 18.4,91.7,2.5 0.0 2.5,0.8
17,16.4 23.9 19.3,86.3,2.3 0.0 2.3,5.1
18,17.0 22.8 19.3,94.3,1.7 8.8 10.5,1.5
19,16.8 25.5 19.5,88.3,0.0 0.3 0.3,3.7
20,17.0 24.7 20.6,80.0,0.0 0.0 0.0,7.7
21,17.7 25.5 20.8,84.0,0.0 0.0 0.0,4.3
22,17.6 26.1 21.5,82.7,0.0 0.0 0.0,7.4
23,18.8 24.3 20.9,81.7,0.2 0.1 0.3,0.2
24,18.2 23.3 20.0,94.0,0.2 0.2 0.4,1.0
25,17.2 23.4 19.9,89.0,0.0 5.9 5.9,0.4
26,16.5 22.7 18.9,92.7,0.9 0.0 0.9,0.4
27,16.6 25.3 19.8,86.7,0.0 0.0 0.0,5.7
28,16.0 22.4 19.3,89.0,0.0 0.0 0.0,0.4
29,16.9 24.4 20.0,89.3,0.0 0.0 0.0,3.4
30,17.0 20.1 18.2,88.7,0.0 0.0 0.0,2.0
31,,,,
Total:,,,86.8 64.9 151.7,76.5
Promedio:,16.6 23.0 19.2,89.2,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Mayo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.5 24.6 20.3,87.3,0.0 3.0 3.0,6.7
2,17.0 24.0 19.8,86.7,1.5 0.0 1.5,1.4
3,17.5 23.7 19.5,84.3,3.8 0.0 3.8,2.8
4,17.0 24.8 18.8,92.7,0.7 5.6 6.3,2.9
5,16.9 22.8 19.4,90.3,2.4 34.3 36.7,3.9
6,16.0 24.8 19.6,88.7,7.3 0.0 7.3,2.7
7,16.9 23.2 19.2,83.7,16.4 2.7 19.1,4.2
8,17.1 23.0 19.8,88.3,0.0 0.6 0.6,2.5
9,16.5 24.0 19.9,87.0,4.0 3.1 7.1,2.7
10,17.0 21.8 19.1,93.0,0.8 0.0 0.8,0.1
11,16.0 23.8 18.9,86.3,50.5 9.8 60.3,1.7
12,16.1 22.8 19.5,85.3,0.0 0.0 0.0,3.2
13,17.6 23.1 20.0,85.3,0.0 16.0 16.0,2.9
14,16.2 25.4 20.8,81.0,0.0 0.0 0.0,6.6
15,18.2 22.8 20.0,86.3,3.7 0.0 3.7,1.3
16,17.5 23.3 19.6,86.0,5.8 2.0 7.8,2.4
17,16.6 21.6 19.1,88.3,1.5 5.6 7.1,0.1
18,16.4 23.5 19.7,87.7,0.0 0.0 0.0,0.0
19,17.7 21.3 19.1,91.7,0.0 0.0 0.0,0.1
20,16.8 23.6 20.2,82.3,0.0 0.0 0.0,5.5
21,17.4 24.7 20.0,88.0,0.0 0.0 0.0,5.3
22,16.7 25.3 20.6,84.0,0.0 0.0 0.0,7.1
23,17.2 24.3 20.4,77.7,0.0 0.0 0.0,5.2
24,17.3 23.7 19.7,92.3,0.0 0.0 0.0,2.6
25,17.4 23.9 20.0,85.0,6.4 0.0 6.4,3.8
26,17.0 25.3 20.2,88.0,0.0 0.0 0.0,6.5
27,18.0 21.2 19.4,90.7,2.0 0.0 2.0,0.1
28,17.9 22.9 20.1,87.7,1.7 0.0 1.7,0.8
29,17.3 22.3 19.8,87.7,0.3 0.0 0.3,0.0
30,17.9 25.5 20.0,84.7,0.0 0.0 0.0,5.5
31,17.8 25.1 20.8,84.0,0.0 1.0 1.0,4.8
Total:,,,108.8 83.7 192.5,95.4
Promedio:,17.1 23.6 19.8,86.8,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Junio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,18.4 21.9 19.3,90.7,6.3 0.6 6.9,1.0
2,16.5 22.8 19.0,91.7,19.9 0.0 19.9,1.3
3,17.1 24.3 20.0,85.7,0.0 4.4 4.4,2.3
4,17.0 23.7 18.8,89.3,9.0 4.5 13.5,3.9
5,16.0 23.8 19.7,89.7,0.9 3.5 4.4,1.8
6,16.4 19.5 18.3,92.7,2.6 0.4 3.0,0.0
7,16.9 20.5 17.9,93.3,21.7 6.0 27.7,0.0
8,16.3 20.8 18.1,93.3,3.3 0.1 3.4,0.1
9,16.4 22.5 19.1,92.3,4.1 0.4 4.5,2.8
10,16.2 24.0 19.3,89.0,0.7 0.3 1.0,2.5
11,16.6 23.2 19.5,90.3,0.0 0.0 0.0,0.9
12,15.9 24.5 20.1,78.3,0.0 0.0 0.0,7.5
13,16.9 24.6 20.1,83.7,0.0 0.0 0.0,5.1
14,17.4 20.1 18.8,86.3,5.7 0.0 5.7,0.3
15,16.6 22.9 19.7,88.3,2.4 0.0 2.4,2.8
16,16.5 23.4 19.9,87.7,0.0 0.0 0.0,2.0
17,17.0 23.0 19.8,84.7,0.2 0.0 0.2,3.4
18,17.5 23.3 20.0,89.0,2.2 2.6 4.8,1.3
19,17.2 24.7 20.2,84.0,0.4 0.0 0.4,6.5
20,17.0 24.9 20.4,83.0,0.0 0.6 0.6,6.2
21,17.3 20.3 18.6,84.7,2.4 0.0 2.4,0.0
22,16.6 23.2 20.2,75.3,0.0 0.0 0.0,3.7
23,17.2 24.2 19.8,84.3,3.1 0.1 3.2,3.8
24,17.4 24.0 19.9,88.0,3.7 0.0 3.7,1.6
25,17.6 23.5 19.9,84.7,0.3 0.0 0.3,2.8
26,17.3 24.9 20.7,84.3,2.9 4.2 7.1,8.1
27,18.0 24.6 20.6,87.3,0.0 0.3 0.3,6.8
28,17.8 24.8 20.1,82.0,3.0 0.0 3.0,2.7
29,18.0 24.7 20.8,84.7,0.9 0.0 0.9,2.5
30,18.2 25.8 21.6,83.0,0.0 0.0 0.0,6.7
31,,,,
Total:,,,95.7 28.0 123.7,90.4
Promedio:,17.0 23.3 19.7,86.7,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Julio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,18.7 26.7 21.5,83.7,0.0 0.0 0.0,7.1
2,19.3 25.3 21.2,84.0,0.0 0.0 0.0,4.9
3,19.0 23.2 20.8,86.0,0.9 0.0 0.9,0.0
4,17.7 23.3 20.1,84.3,17.2 5.5 22.7,0.0
5,17.0 24.3 20.0,82.0,0.7 0.0 0.7,4.1
6,17.2 23.7 20.0,86.3,0.3 0.0 0.3,1.7
7,18.5 23.0 20.3,80.0,2.8 0.0 2.8,1.1
8,18.0 22.8 20.1,81.3,0.0 0.0 0.0,1.0
9,17.9 24.1 19.8,85.3,0.7 0.0 0.7,4.0
10,18.1 25.4 19.8,85.0,0.0 0.0 0.0,5.9
11,17.9 24.3 20.3,87.3,0.0 0.0 0.0,5.2
12,17.7 25.4 20.6,79.0,0.1 2.6 2.7,2.5
13,17.4 23.5 20.2,89.3,7.0 0.0 7.0,0.8
14,16.5 22.6 18.7,91.0,88.2 0.0 88.2,0.7
15,16.4 23.8 19.2,79.7,3.0 0.3 3.3,2.2
16,16.7 22.7 19.3,91.7,4.0 0.8 4.8,0.6
17,17.3 21.5 19.0,90.3,4.0 0.0 4.0,0.0
18,16.6 23.8 19.0,93.0,2.1 0.8 2.9,4.1
19,17.3 23.0 19.2,89.7,7.1 0.0 7.1,3.4
20,17.9 23.3 19.6,88.3,0.0 0.0 0.0,4.2
21,17.8 23.7 20.3,84.3,0.0 0.0 0.0,3.7
22,17.5 22.4 18.8,94.3,10.5 0.0 10.5,0.8
23,16.6 22.3 18.8,90.0,1.7 0.0 1.7,1.8
24,16.4 25.9 19.6,77.0,0.0 0.0 0.0,5.2
25,16.1 23.9 19.9,79.3,0.0 0.0 0.0,3.6
26,17.0 23.5 19.2,83.7,2.4 2.4 4.8,3.0
27,15.3 18.7 17.7,94.0,1.5 1.5 3.0,0.2
28,15.4 18.5 17.2,96.0,2.9 0.0 2.9,0.0
29,14.5 21.7 18.3,84.3,1.2 0.0 1.2,2.4
30,16.4 25.7 20.3,81.7,1.8 0.0 1.8,7.6
31,16.5 24.8 20.4,79.7,0.0 0.0 0.0,4.7
Total:,,,160.1 13.9 174.0,86.5
Promedio:,17.2 23.4 19.7,85.9,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Agosto,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.5 24.2 19.8,83.3,13.5 4.0 17.5,4.0
2,17.7 24.7 20.8,79.3,0.0 0.0 0.0,5.9
3,17.6 23.3 20.0,86.0,0.3 0.0 0.3,2.0
4,15.0 24.1 18.5,81.3,28.3 0.0 28.3,3.9
5,16.7 24.0 19.8,85.0,1.3 0.4 1.7,4.7
6,17.6 23.0 20.2,84.3,0.4 0.0 0.4,3.8
7,17.5 23.2 19.8,87.3,0.0 0.0 0.0,1.3
8,16.9 24.4 19.7,87.3,0.5 0.0 0.5,4.9
9,16.7 23.0 20.0,79.3,0.0 0.0 0.0,1.0
10,17.4 26.1 21.2,77.0,0.0 0.0 0.0,8.9
11,16.6 25.2 20.1,85.0,36.6 0.0 36.6,2.1
12,17.2 25.0 20.4,77.0,0.0 0.0 0.0,5.1
13,18.1 25.3 20.7,75.7,0.0 0.0 0.0,6.3
14,18.8 26.3 21.3,80.3,0.5 0.3 0.8,6.1
15,18.0 23.5 21.0,81.7,0.4 0.0 0.4,1.9
16,17.5 23.2 19.9,91.3,2.3 0.3 2.6,2.7
17,17.0 21.7 19.1,94.7,0.0 0.0 0.0,0.0
18,16.7 20.6 18.8,84.3,1.5 0.1 1.6,0.0
19,17.3 23.2 18.6,80.3,15.9 0.0 15.9,4.4
20,17.0 24.6 20.1,75.7,0.0 3.5 3.5,5.8
21,16.8 23.0 18.8,84.0,2.4 0.0 2.4,1.9
22,17.6 23.8 20.6,80.7,0.7 0.0 0.7,5.6
23,18.0 25.5 21.0,79.3,2.1 10.0 12.1,6.9
24,16.7 23.5 20.0,77.0,0.9 0.0 0.9,1.5
25,16.9 22.3 19.2,87.7,1.9 9.9 11.8,2.2
26,16.2 24.2 18.9,80.0,1.5 4.3 5.8,3.4
27,16.0 23.4 19.5,85.7,0.5 0.0 0.5,4.8
28,17.2 23.4 19.8,87.0,0.0 0.2 0.2,3.7
29,17.4 25.8 20.5,72.7,3.6 0.0 3.6,4.9
30,17.5 23.2 19.5,82.7,4.5 0.4 4.9,0.7
31,17.8 23.3 20.0,87.0,4.5 0.0 4.5,3.5
Total:,,,124.1 33.4 157.5,113.9
Promedio:,17.2 23.9 19.9,82.6,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Septiembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.8 23.7 19.2,89.7,16.8 0.0 16.8,3.0
2,17.2 24.1 19.9,85.3,0.0 0.0 0.0,7.0
3,16.9 24.0 19.9,81.7,0.0 0.0 0.0,9.4
4,16.5 22.1 19.3,86.0,0.5 1.0 1.5,3.9
5,17.0 24.9 19.8,81.3,2.1 4.5 6.6,2.3
6,16.0 25.9 20.4,67.7,0.0 0.4 0.4,3.1
7,16.5 21.3 19.3,88.3,3.6 1.4 5.0,0.9
8,16.6 22.2 18.8,89.7,2.0 0.0 2.0,3.7
9,16.5 24.2 19.5,90.3,2.3 0.0 2.3,5.0
10,17.1 23.2 20.0,85.0,0.0 0.0 0.0,5.7
11,17.0 23.5 19.8,88.7,0.1 0.2 0.3,3.3
12,16.9 23.3 19.2,86.0,0.4 0.0 0.4,4.1
13,17.2 22.4 18.2,91.0,0.0 0.0 0.0,1.3
14,17.0 24.8 19.4,87.0,3.0 0.5 3.5,5.6
15,16.9 25.0 19.2,87.0,0.0 0.0 0.0,3.6
16,16.5 23.0 19.6,74.0,0.9 0.0 0.9,2.4
17,16.6 23.9 19.4,87.3,2.2 3.8 6.0,5.4
18,16.0 23.6 18.3,83.3,21.3 5.9 27.2,3.3
19,15.5 24.9 19.8,77.0,0.0 0.0 0.0,5.3
20,16.6 24.0 20.1,82.0,2.8 0.0 2.8,6.8
21,16.7 24.9 19.7,87.3,14.6 0.0 14.6,6.3
22,16.7 25.2 20.4,82.3,0.0 0.0 0.0,8.3
23,17.4 25.4 21.2,69.0,0.0 0.0 0.0,6.9
24,16.5 26.0 20.4,68.7,0.0 2.4 2.4,7.6
25,17.0 25.0 20.7,78.7,0.2 13.1 13.3,7.8
26,16.9 25.3 20.9,82.3,0.0 0.0 0.0,9.4
27,17.5 25.7 21.2,79.7,0.0 0.0 0.0,7.0
28,17.9 25.1 20.4,85.3,0.0 0.0 0.0,6.4
29,18.1 24.7 20.6,81.3,0.0 0.0 0.0,2.2
30,18.0 25.8 21.2,74.0,0.4 0.0 0.4,2.2
31,,,,
Total:,,,73.2 33.2 106.4,149.2
Promedio:,16.9 24.2 19.9,82.6,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Octubre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.7 22.7 20.0,78.7,2.4 0.0 2.4,3.1
2,17.5 25.7 20.3,84.7,0.0 0.0 0.0,4.2
3,17.9 25.9 20.2,84.0,0.0 5.9 5.9,6.4
4,16.9 23.1 20.0,87.7,0.0 0.3 0.3,3.2
5,17.5 25.7 20.5,83.0,0.0 0.0 0.0,7.6
6,18.0 26.4 21.2,83.7,6.1 0.0 6.1,5.8
7,18.6 25.4 20.9,82.0,0.0 0.0 0.0,3.9
8,18.0 24.5 21.1,71.3,0.0 0.0 0.0,0.8
9,17.7 23.7 20.1,87.3,1.0 0.0 1.0,1.3
10,17.4 27.2 21.5,73.0,0.0 0.0 0.0,6.4
11,16.6 23.2 19.9,82.0,0.7 6.3 7.0,3.6
12,16.9 25.2 20.6,80.7,0.0 9.9 9.9,5.7
13,17.4 20.9 18.2,89.3,3.5 11.9 15.4,0.1
14,16.5 22.0 18.8,89.7,3.8 15.3 19.1,1.6
15,16.0 22.0 18.2,87.3,0.5 0.0 0.5,0.7
16,16.8 22.7 18.2,92.0,11.9 3.5 15.4,2.6
17,15.5 20.4 17.5,92.3,7.3 0.0 7.3,1.5
18,16.7 22.9 18.8,80.0,0.0 2.7 2.7,3.6
19,16.7 21.9 18.4,87.0,4.7 0.1 4.8,1.9
20,16.4 22.1 18.3,87.3,15.1 0.0 15.1,1.6
21,16.5 22.9 19.5,88.0,0.3 13.6 13.9,2.5
22,16.8 21.2 18.8,87.3,1.4 0.0 1.4,0.8
23,16.4 22.7 19.2,88.0,7.9 3.7 11.6,2.8
24,16.0 25.2 19.9,87.3,0.0 0.0 0.0,6.9
25,17.4 25.4 20.9,81.7,0.0 0.0 0.0,7.1
26,17.0 22.7 19.8,87.3,0.1 0.2 0.3,0.7
27,16.8 22.9 19.5,85.3,2.9 0.0 2.9,1.8
28,17.6 22.9 20.2,88.7,0.0 0.0 0.0,1.0
29,16.9 23.0 19.4,89.0,0.7 0.0 0.7,3.1
30,16.5 23.8 18.5,92.0,1.3 0.2 1.5,4.1
31,17.3 23.0 19.4,83.3,1.7 0.0 1.7,3.1
Total:,,,73.3 73.6 146.9,99.5
Promedio:,17.0 23.5 19.6,85.2,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Noviembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.4 22.7 19.6,83.0,0.0 0.1 0.1,5.2
2,16.3 23.0 19.6,82.7,0.0 0.0 0.0,3.9
3,16.5 24.4 19.9,84.0,0.0 0.0 0.0,5.7
4,17.3 24.9 20.5,84.0,0.0 0.0 0.0,5.2
5,17.5 24.6 20.0,85.7,9.4 0.0 9.4,3.7
6,17.3 24.8 19.5,91.3,9.3 0.1 9.4,2.0
7,17.0 23.4 19.5,88.7,0.9 0.8 1.7,1.9
8,17.0 22.6 19.2,88.3,0.0 0.4 0.4,0.7
9,16.6 23.1 19.2,86.0,0.7 0.0 0.7,0.4
10,16.3 22.6 19.7,88.7,1.1 0.0 1.1,1.0
11,17.0 23.7 19.8,84.3,2.2 0.0 2.2,1.9
12,17.1 21.4 19.2,89.7,2.6 0.0 2.6,0.2
13,16.9 22.5 18.8,89.3,8.5 22.9 31.4,0.6
14,16.5 23.6 19.1,88.3,0.1 0.1 0.2,0.8
15,16.3 21.6 18.0,88.3,4.0 0.8 4.8,0.4
16,15.9 21.7 18.5,85.3,10.8 0.0 10.8,0.3
17,15.5 22.2 18.8,83.3,1.6 0.0 1.6,1.4
18,16.1 24.7 19.6,83.0,1.5 41.3 42.8,2.4
19,15.7 23.7 19.8,78.3,0.0 0.0 0.0,4.7
20,17.2 24.4 19.5,84.3,1.8 2.7 4.5,3.5
21,16.3 21.7 18.9,88.7,1.2 0.0 1.2,2.1
22,16.4 23.7 19.5,85.0,4.7 20.9 25.6,4.6
23,16.8 23.9 18.6,86.7,3.4 0.4 3.8,3.9
24,16.5 22.6 19.4,87.3,6.5 1.0 7.5,2.9
25,17.0 22.6 19.8,83.7,0.0 0.0 0.0,2.5
26,17.1 23.1 18.8,90.7,7.9 0.0 7.9,1.1
27,17.0 22.6 19.2,84.0,11.0 0.4 11.4,2.4
28,17.4 24.4 20.0,80.0,0.0 0.0 0.0,1.0
29,16.8 23.5 19.2,86.0,2.9 0.0 2.9,2.5
30,16.4 23.2 19.1,88.0,0.0 0.0 0.0,2.7
31,,,,
Total:,,,92.1 91.9 184.0,71.6
