Estacion:, El Trapiche,Dpto: Antioquia,Latitud  :,5°,48',N
Año:, 2006,Mpio: Bolívar,Longitud:,76°,1',W
"",,Altitud:,1277,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
16,16.8 28.8 20.6,78.7,0.7 7.1 7.8,5.9
17,18.0 27.0 22.2,74.0,2.6 20.2 22.8,3.0
18,16.8 25.2 19.8,81.3,2.0 0.0 2.0,1.4
19,16.5 29.6 22.7,70.0,0.0 0.0 0.0,9.3
20,17.4 31.8 22.5,68.7,0.0 8.9 8.9,7.5
21,18.0 29.6 22.4,64.3,0.0 0.0 0.0,6.8
22,15.0 31.6 22.3,63.0,0.0 1.6 1.6,8.2
23,18.0 30.6 23.3,65.3,0.0 0.5 0.5,9.6
24,17.0 24.8 19.7,86.3,23.0 0.0 23.0,2.2
25,15.4 27.6 20.1,78.3,7.6 0.8 8.4,3.6
26,16.6 27.0 21.0,75.0,0.0 6.1 6.1,2.5
27,17.6 29.5 22.4,69.0,0.0 0.3 0.3,8.2
28,17.0 30.5 22.9,64.7,0.0 0.0 0.0,9.2
29,17.2 31.8 23.3,65.3,0.0 16.2 16.2,8.6
30,16.0 28.0 21.6,74.0,0.0 0.0 0.0,5.9
31,17.2 31.8 23.3,65.0,0.0 3.0 3.0,10.1
Total:,,,39.2 80.4 119.6,204.8
Promedio:,16.8 29.8 22.3,68.9,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Septiembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.0 27.3 21.4,72.3,0.0 0.0 0.0,2.6
2,17.8 30.8 22.4,65.7,0.0 10.3 10.3,9.9
3,18.0 29.9 22.4,69.3,0.0 3.6 3.6,8.2
4,17.0 28.8 21.4,73.0,0.0 7.2 7.2,4.8
5,15.8 30.6 22.3,67.7,0.0 12.4 12.4,7.2
6,16.8 30.0 22.4,69.3,0.0 10.3 10.3,7.2
7,18.0 27.6 21.5,72.7,19.7 22.2 41.9,5.0
8,16.8 29.1 21.6,72.3,0.0 28.6 28.6,6.7
9,17.0 29.6 21.5,72.7,0.0 1.1 1.1,6.5
10,17.2 31.2 22.7,68.0,0.0 5.3 5.3,9.2
11,17.4 27.7 21.8,72.3,0.0 12.9 12.9,6.7
12,16.5 29.3 22.0,69.7,0.0 20.1 20.1,8.7
13,16.0 21.5 18.1,92.0,82.1 0.0 82.1,0.0
14,15.8 29.6 22.0,68.7,0.0 12.8 12.8,7.1
15,17.0 28.6 21.9,72.3,0.0 30.2 30.2,7.9
16,16.6 30.3 21.6,71.7,0.2 14.3 14.5,8.2
17,17.2 26.6 21.4,74.3,0.8 6.0 6.8,2.5
18,18.2 27.2 20.3,82.0,4.5 0.0 4.5,2.0
19,15.2 29.4 20.8,73.3,1.1 11.0 12.1,5.4
20,17.5 29.6 21.4,72.0,0.0 0.0 0.0,7.6
21,18.0 31.2 22.6,68.0,0.0 14.6 14.6,8.5
22,16.8 30.4 21.7,66.0,0.0 0.0 0.0,8.3
23,16.0 31.0 22.7,66.3,0.0 5.2 5.2,8.8
24,15.6 25.6 20.5,79.3,0.0 1.6 1.6,0.3
25,17.7 30.6 23.4,65.7,0.0 19.3 19.3,8.2
26,16.4 30.8 22.0,63.7,0.0 0.0 0.0,6.8
27,16.0 32.0 22.8,62.0,0.0 0.0 0.0,8.6
28,16.2 31.5 23.0,66.3,0.0 0.4 0.4,7.7
29,17.8 30.2 22.5,74.3,1.4 7.7 9.1,6.9
30,18.6 29.6 22.7,74.0,0.0 0.6 0.6,4.7
31,,,,
Total:,,,109.8 257.7 367.5,192.2
Promedio:,16.9 29.3 21.8,71.2,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Octubre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,18.0 30.2 23.5,70.7,0.0 47.0 47.0,7.5
2,17.0 27.6 22.0,72.7,0.0 0.0 0.0,1.4
3,18.6 27.2 21.4,83.7,11.6 4.5 16.1,3.0
4,16.3 28.0 21.7,71.3,0.0 0.0 0.0,3.2
5,19.6 31.8 24.1,63.7,0.0 0.0 0.0,8.1
6,18.2 30.5 23.3,67.3,0.0 0.0 0.0,5.9
7,18.4 31.5 23.4,66.3,0.0 0.0 0.0,6.8
8,17.6 29.6 23.6,71.7,0.0 0.0 0.0,4.9
9,19.2 29.5 22.5,73.7,0.0 0.3 0.3,3.5
10,18.2 30.6 22.6,69.7,0.0 17.4 17.4,7.4
11,17.5 22.4 19.4,90.7,2.8 0.0 2.8,0.2
12,16.0 29.0 22.0,71.3,0.0 33.4 33.4,7.7
13,17.2 28.2 21.0,76.0,0.1 0.4 0.5,2.8
14,18.2 27.8 21.6,75.7,2.4 5.6 8.0,3.6
15,18.0 27.6 21.2,73.3,0.0 17.0 17.0,3.9
16,17.4 25.8 20.7,77.7,4.8 0.6 5.4,1.0
17,16.4 23.0 19.0,85.3,7.8 0.0 7.8,0.0
18,16.8 28.2 21.5,74.0,0.0 0.2 0.2,8.1
19,16.7 25.5 20.4,74.3,4.0 4.0 8.0,3.3
20,16.6 28.0 20.4,65.7,0.0 0.0 0.0,7.4
21,13.0 30.4 20.6,63.7,0.0 3.5 3.5,10.1
22,16.5 29.2 21.9,71.0,0.0 2.4 2.4,7.5
